Year,Region,Temperature,Humidity_PER,Rainfall,Leaf_type,Disease,Image_URL,VARI,ExG,CIVE,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,LBP_Feature,Edge_Density
2551,North,25.96,62.14,113.05,1,Healthy,https://drive.google.com/uc?export=download&id=19U79tEnFymtEEe3TaUOr4LrmzoXEOXoj,0.78,26.25,18.24,39.47,0.32,0.03,0.1,0.02
2551,East,27.42,88.87,189.75,1,Healthy,https://drive.google.com/uc?export=download&id=1WTQxWPEQxtK3J3PR2AAbswSxut2N7eDc,0.99,91.7,-13.1,63.59,0.3,0.03,0.1,0.01
2551,South,34.6,65.7,110.8,1,Healthy,https://drive.google.com/uc?export=download&id=1nT1fvOrFfh6IWlJIdYip8VPCeqa69HoK,0.16,46.57,3.51,62.48,0.28,0.03,0.1,0.01
2551,South,26.4,65.0,151.3,1,Healthy,https://drive.google.com/uc?export=download&id=1u9hFRuHm9riKuZfoU_wA_p3Whgptso9O,0.26,53.22,1.89,113.88,0.31,0.03,0.1,0.02
2551,South,35.0,67.0,143.7,1,Healthy,https://drive.google.com/uc?export=download&id=1iKzPrPy93HXhjSYU9Y1yPdkd5m6YFziL,0.19,50.94,3.8,84.64,0.22,0.02,0.1,0.01
2551,South,32.06,89.39,179.09,1,Healthy,https://drive.google.com/uc?export=download&id=15doJRPZm5uD4jhjMwFyeLdQ5dPS1A_9d,0.12,43.4,12.24,144.09,0.28,0.02,0.1,0.02
2551,North,33.62,80.61,168.49,1,Healthy,https://drive.google.com/uc?export=download&id=1s3sVqrRa0l9CJnvUYeWGnj2Dox9HAJjw,0.17,69.96,-6.18,15.97,0.45,0.04,0.1,0.0
2551,East,26.4,60.7,127.6,1,Healthy,https://drive.google.com/uc?export=download&id=1fKlJWKnoTdbit5jMR1b2gixHU-wCojDt,0.23,61.92,0.31,25.05,0.39,0.04,0.1,0.01
2551,Central,30.9,85.8,173.0,1,Healthy,https://drive.google.com/uc?export=download&id=1Pg_A1F6M_Mqz9WbEMDk7Np6ZMj9GtWJI,0.11,58.3,-1.5,79.81,0.28,0.02,0.1,0.02
2551,North,32.33,82.29,153.7,0,Mosaic,https://drive.google.com/uc?export=download&id=16GjmMoF8kh2pIzd-wPP-PeJ-KUmYK6MT,0.14,73.78,-3.84,18.93,0.38,0.03,0.1,0.0
