Year,Region,Temperature,Humidity_PER,Rainfall,Leaf_type,Disease,Image_URL,VARI,ExG,CIVE,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,LBP_Feature,Edge_Density
2551,East,26.4,86.77,223.98,1,Healthy,https://drive.google.com/uc?export=download&id=1qyFvAqiwfPRxAGfTQsmej2a8yqyEBiN7,1,93.69,-30.625,39.1,0.35,0,0.1,1.93
2551,East,27.42,75.92,270.89,1,Healthy,https://drive.google.com/uc?export=download&id=1Xt9jP4GEvHEP2bkBfgqqZnf0C9iII1XI,1,93.69,-30.625,55.09,0.31,0,0.1,3.65
2551,Northeast,33.32,72.37,257.6,1,Healthy,https://drive.google.com/uc?export=download&id=1RwsffUnTN6CkC2LSRrITUxzmCe0ZFcnP,1,93.69,-30.625,19.51,0.36,0,0.1,2.54
2551,Northeast,28.1,84.74,128.41,1,Healthy,https://drive.google.com/uc?export=download&id=1wn5RLptJd2gtlX9PCuLy_2BScDdH9x7b,1,93.69,-30.625,6.03,0.61,0,0.1,0.67
2551,Northeast,29.2,78.51,167.29,1,Healthy,https://drive.google.com/uc?export=download&id=1fKlJWKnoTdbit5jMR1b2gixHU-wCojDt,1,93.69,-30.625,25.05,0.39,0,0.1,2.02
2551,Central,30.5,66.43,266.08,1,Healthy,https://drive.google.com/uc?export=download&id=11gsZ-9WZK4EFrGvke19qMddq48SA3qhg,1,93.69,-30.625,29.9,0.36,0,0.1,2.01
2551,North,27.54,89.51,262.18,1,Healthy,https://drive.google.com/uc?export=download&id=1i9Y8uH22gLpKDBNOt4uhpoJd1Opshz4F,1,93.69,-30.625,292.84,0.17,0,0.1,16.58
2551,Northeast,22.5,73.2,103.2,1,Healthy,https://drive.google.com/uc?export=download&id=1pyfN7QdZgljVLJ3j8ZG5sL0mXVw-wA4-,1,77.09,-33.2,42.27,0.38,0,0.1,4.21
2551,Northeast,23.1,53.5,150.6,1,Healthy,https://drive.google.com/uc?export=download&id=1n6FYoDBz7QTnkD1GPbEXgmmGmOiRZpHj,1,51.95,-26.48,7.98,0.51,0,0.1,1.34
2551,Northeast,31.7,49.4,114,1,Healthy,https://drive.google.com/uc?export=download&id=1AFAdH7CzrH5vs3L5NNF74zbz8keCk3nz,1,84.13,-25.86,18.93,0.44,0,0.1,1.22
2551,Northeast,33.2,62.8,113.1,1,Healthy,https://drive.google.com/uc?export=download&id=1TrAgjV2dcEG0HVC6MfNh7zoeWU6BLMEV,1,76.67,-23.17,43.07,0.42,0,0.1,3.8
2551,Northeast,32.9,56.3,125.7,1,Healthy,https://drive.google.com/uc?export=download&id=1w0uCZ0Cs-VY_f3pEYa3fBKyOinQ_uauD,1,88.43,-44.93,9.62,0.59,0.01,0.1,0.65
2551,Northeast,24.6,45.3,182.3,1,Healthy,https://drive.google.com/uc?export=download&id=1QcJ38jrWyqFOUNlQ0om8G8BxRwns9t4o,1,88.12,-38.48,116.79,0.34,0,0.1,8.43
2551,Northeast,29.8,67.9,171,1,Healthy,https://drive.google.com/uc?export=download&id=1euSchn1yLFVZ58lThgpENiPrheE5h6gs,1,60.32,-25.86,102.1,0.27,0,0.1,5.57
2551,Central,30.9,85.8,173,1,Healthy,https://drive.google.com/uc?export=download&id=1Pg_A1F6M_Mqz9WbEMDk7Np6ZMj9GtWJI,1,63,-30.97,79.81,0.28,0,0.1,5.04
2551,Central,35.7,64.5,192.1,1,Healthy,https://drive.google.com/uc?export=download&id=13fIOLiBw-FUQPacg4o-QTbU7wp_BBOyV,1,61.83,-27.66,97.79,0.28,0,0.1,9.43
2551,North,32.49,74.49,105.56,1,Healthy,https://drive.google.com/uc?export=download&id=15m6Bv33ZwYYMWWN5MBhhkFqKW2vOm6FS,1,93.69,-30.625,38.82,0.32,0,0.1,3.77
2551,Northeast,26.63,82.59,298.59,1,Healthy,https://drive.google.com/uc?export=download&id=1QaI2f_XH4hVui3s18FBYDjcnBsCp2Hjz,1,93.69,-30.625,34.47,0.37,0,0.1,1.63
2551,South,32.79,71.18,216.17,1,Healthy,https://drive.google.com/uc?export=download&id=1ZrmarJa03BBrD0I5kTCDofKS2aZs_VuH,1,93.69,-30.625,24.96,0.39,0,0.1,1.15
2551,Northeast,29.26,63.56,229.55,1,Healthy,https://drive.google.com/uc?export=download&id=1CZ1G5VkutgClaqnkIC1VFUTXRyCh30Yp,1,93.69,-30.625,6.95,0.59,0,0.1,0.43
2551,East,27.42,88.87,189.75,1,Healthy,https://drive.google.com/uc?export=download&id=1WTQxWPEQxtK3J3PR2AAbswSxut2N7eDc,1,93.69,-30.625,63.57,0.3,0,0.1,3.8
2551,North,25.96,62.14,113.05,1,Healthy,https://drive.google.com/uc?export=download&id=19U79tEnFymtEEe3TaUOr4LrmzoXEOXoj,1,93.69,-30.625,39.46,0.32,0,0.1,3.85
2551,East,26.82,74.62,238.38,1,Healthy,https://drive.google.com/uc?export=download&id=18OLHoQyVoJtlj2yWVA3arbeWjTBRBxB8,1,93.69,-30.625,65.11,0.35,0,0.1,2.49
2551,North,34.64,75.13,198.52,1,Healthy,https://drive.google.com/uc?export=download&id=1WvaMRNf_iQzHQKgeIBWdNXCuqeCUtjTD,1,93.69,-30.625,117.9,0.23,0,0.1,4.34
2551,North,29.62,86.94,187.47,1,Healthy,https://drive.google.com/uc?export=download&id=11miyNTk889HwzlOjeQz0eIDARrOtFz2H,1,93.69,-30.625,30.84,0.35,0,0.1,2.22
2551,North,29.2,76.82,279.32,1,Healthy,https://drive.google.com/uc?export=download&id=1rKTeinuMrImMoU7hKMGq4ugBHdPQh_VD,1,93.69,-30.625,41.49,0.32,0,0.1,2.45
2551,Northeast,28.33,86.95,216.05,1,Healthy,https://drive.google.com/uc?export=download&id=13YyQTvLEgIm1W1W4i0daAeG2XikzjV_H,1,93.69,-30.625,39.82,0.33,0,0.1,5.33
2551,South,25.72,71.06,223.71,1,Healthy,https://drive.google.com/uc?export=download&id=1jlDqV4NnNm9n4xVZXs6Yu_jOBf-BqUZP,1,93.69,-30.625,25.97,0.42,0,0.1,0.9
