Year,Region,Temperature,Humidity_PER,Rainfall,Leaf_type,Disease,Image_URL,VARI,ExG,CIVE,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,LBP_Feature,Edge_Density
2551,North,25.96,62.14,113.05,1,Healthy,images\image_00000.jpg,0.78,26.25,18.24,39.47,0.32,0.03,0.1,0.02
2551,East,27.42,88.87,189.75,1,Healthy,images\image_00001.jpg,0.99,91.7,-13.1,63.59,0.3,0.03,0.1,0.01
2551,South,34.6,65.7,110.8,1,Healthy,images\image_00002.jpg,0.16,46.57,3.51,62.48,0.28,0.03,0.1,0.01
2551,South,26.4,65.0,151.3,1,Healthy,images\image_00003.jpg,0.26,53.22,1.89,113.88,0.31,0.03,0.1,0.02
2551,South,35.0,67.0,143.7,1,Healthy,images\image_00004.jpg,0.19,50.94,3.8,84.64,0.22,0.02,0.1,0.01
2551,South,32.06,89.39,179.09,1,Healthy,images\image_00005.jpg,0.12,43.4,12.24,144.09,0.28,0.02,0.1,0.02
2551,North,33.62,80.61,168.49,1,Healthy,images\image_00006.jpg,0.17,69.96,-6.18,15.97,0.45,0.04,0.1,0.0
2551,East,26.4,60.7,127.6,1,Healthy,images\image_00007.jpg,0.23,61.92,0.31,25.05,0.39,0.04,0.1,0.01
2551,Central,30.9,85.8,173.0,1,Healthy,images\image_00008.jpg,0.11,58.3,-1.5,79.81,0.28,0.02,0.1,0.02
2551,North,32.33,82.29,153.7,0,Mosaic,images\image_00009.jpg,0.14,73.78,-3.84,18.93,0.38,0.03,0.1,0.0
2551,South,25.95,86.39,212.91,0,Mosaic,images\image_00010.jpg,0.15,114.31,-23.46,15.07,0.42,0.04,0.1,0.01
2551,East,29.51,79.59,114.99,0,Mosaic,images\image_00011.jpg,0.5,59.62,2.24,344.58,0.56,0.06,0.1,0.04
2551,Central,28.92,87.84,261.44,0,Mosaic,images\image_00012.jpg,0.19,99.07,-18.57,24.2,0.45,0.04,0.1,0.01
2551,South,29.5,86.2,180.8,0,Mosaic,images\image_00013.jpg,0.04,45.27,3.06,4.32,0.63,0.06,0.1,0.0
2551,South,31.0,82.3,153.7,0,Mosaic,images\image_00014.jpg,0.28,71.04,-6.37,7.54,0.5,0.05,0.1,0.0
2551,South,34.7,84.6,108.1,0,Mosaic,images\image_00015.jpg,0.1,37.92,7.81,27.52,0.34,0.03,0.1,0.01
2551,Central,27.95,64.95,204.23,0,Mosaic,images\image_00016.jpg,0.07,58.96,0.26,18.39,0.45,0.04,0.1,0.0
2551,South,25.17,73.64,128.49,0,Mosaic,images\image_00017.jpg,0.07,50.16,9.39,28.25,0.41,0.03,0.1,0.0
2551,East,33.6,86.8,168.1,1,Healthy,images\image_00018.jpg,0.99,52.87,5.96,26.98,0.4,0.03,0.1,0.01
2551,East,34.1,65.9,196.8,1,Healthy,images\image_00019.jpg,0.15,59.86,0.65,112.19,0.24,0.02,0.1,0.02
2551,Central,37.8,85.5,196.0,1,Healthy,images\image_00020.jpg,0.14,78.21,-6.85,202.72,0.28,0.02,0.1,0.06
2551,Northeast,27.84,67.18,217.91,1,Healthy,images\image_00021.jpg,0.1,81.22,-8.09,115.48,0.24,0.02,0.1,0.02
2551,Northeast,28.64,72.85,153.69,1,Healthy,images\image_00022.jpg,0.17,67.91,-5.62,20.07,0.46,0.04,0.1,0.02
2551,East,26.27,86.98,136.86,1,Healthy,images\image_00023.jpg,0.2,110.28,-16.51,28.13,0.37,0.03,0.1,0.01
2551,East,34.62,85.22,184.98,1,Healthy,images\image_00024.jpg,0.13,78.32,-7.54,107.72,0.27,0.02,0.1,0.02
2551,North,27.54,89.51,262.18,1,Healthy,images\image_00025.jpg,0.19,83.88,-9.62,292.84,0.17,0.02,0.1,0.07
2551,Central,30.5,66.43,266.08,1,Healthy,images\image_00026.jpg,0.18,99.0,-18.71,29.91,0.36,0.04,0.1,0.01
2551,Northeast,29.2,78.51,167.29,1,Healthy,images\image_00027.jpg,0.23,61.92,0.31,25.05,0.39,0.04,0.1,0.01
2551,Northeast,28.1,84.74,128.41,1,Healthy,images\image_00028.jpg,0.1,47.3,6.48,6.03,0.61,0.06,0.1,0.0
2551,Northeast,33.32,72.37,257.6,1,Healthy,images\image_00029.jpg,0.78,66.28,-2.79,19.53,0.36,0.04,0.1,0.01
2551,East,27.42,75.92,270.89,1,Healthy,images\image_00030.jpg,0.72,46.56,4.7,55.09,0.31,0.03,0.1,0.01
2551,East,26.82,74.62,238.38,1,Healthy,images\image_00031.jpg,0.3,44.47,2.96,65.13,0.35,0.03,0.1,0.01
2551,Central,25.14,81.1,230.94,0,Mosaic,images\image_00032.jpg,0.1,123.26,-26.57,382.93,0.12,0.02,0.1,0.21
2551,East,31.33,78.55,165.98,0,Mosaic,images\image_00033.jpg,0.38,106.15,-20.26,277.46,0.19,0.01,0.1,0.13
2551,North,28.91,86.0,128.35,0,Mosaic,images\image_00034.jpg,0.17,56.21,9.14,32.74,0.31,0.02,0.1,0.01
2551,Central,30.36,69.43,129.44,0,Mosaic,images\image_00035.jpg,0.16,81.61,-3.48,31.33,0.46,0.04,0.1,0.01
2551,Central,32.66,84.43,192.07,0,Mosaic,images\image_00036.jpg,0.18,99.19,-18.41,128.72,0.22,0.02,0.1,0.07
2551,Central,33.79,65.96,209.6,0,Mosaic,images\image_00037.jpg,0.46,29.66,10.23,38.24,0.71,0.13,0.1,0.01
