Image,True_Label,Pred_Label
C:\Users\poplo\Desktop\DM\src\images\image_06770.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04865.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_02919.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_01641.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_01813.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03718.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_06905.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_05909.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03630.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04991.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01409.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04126.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04649.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03398.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06649.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_02339.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04539.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04197.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_01078.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03601.jpg,4,0
C:\Users\poplo\Desktop\DM\src\images\image_04810.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04272.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03443.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_02637.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03249.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_06076.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00903.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00874.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04771.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_01284.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_05957.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02871.jpg,0,0
